plantID,pop,year,popYear,taxa,sp,reg,nFlrs,nFrts,latN,lonW
SBL28,SBL,2019,SBL-2019,S,S,wS,11,5,33.34243,-104.333
SBL29,SBL,2019,SBL-2019,S,S,wS,28,22,33.34243,-104.333
SBL30,SBL,2019,SBL-2019,S,S,wS,24,21,33.34243,-104.333
SBL31,SBL,2019,SBL-2019,S,S,wS,23,20,33.34243,-104.333
SCL01,SCL,2019,SCL-2019,S,S,wS,8,4,33.5655,-101.80032
SCL02,SCL,2019,SCL-2019,S,S,wS,16,12,33.5655,-101.80032
SCL03,SCL,2019,SCL-2019,S,S,wS,22,15,33.5655,-101.80032
SCL04,SCL,2019,SCL-2019,S,S,wS,30,15,33.5655,-101.80032
SCL05,SCL,2019,SCL-2019,S,S,wS,21,16,33.5655,-101.80032
SCL06,SCL,2019,SCL-2019,S,S,wS,21,12,33.5655,-101.80032
SCL07,SCL,2019,SCL-2019,S,S,wS,25,11,33.5655,-101.80032
SCL08,SCL,2019,SCL-2019,S,S,wS,17,16,33.5655,-101.80032
SCL09,SCL,2019,SCL-2019,S,S,wS,9,6,33.5655,-101.80032
SCL10,SCL,2019,SCL-2019,S,S,wS,42,23,33.5655,-101.80032
SCL11,SCL,2019,SCL-2019,S,S,wS,24,11,33.5655,-101.80032
SCL12,SCL,2019,SCL-2019,S,S,wS,31,21,33.5655,-101.80032
SCL13,SCL,2019,SCL-2019,S,S,wS,26,21,33.5655,-101.80032
SCL14,SCL,2019,SCL-2019,S,S,wS,15,9,33.5655,-101.80032
SCL15,SCL,2019,SCL-2019,S,S,wS,18,10,33.5655,-101.80032
SCL16,SCL,2019,SCL-2019,S,S,wS,21,16,33.5655,-101.80032
SCL17,SCL,2019,SCL-2019,S,S,wS,13,1,33.5655,-101.80032
SCL18,SCL,2019,SCL-2019,S,S,wS,16,10,33.5655,-101.80032
SCL19,SCL,2019,SCL-2019,S,S,wS,28,13,33.5655,-101.80032
SCL20,SCL,2019,SCL-2019,S,S,wS,40,30,33.5655,-101.80032
SCL21,SCL,2019,SCL-2019,S,S,wS,24,20,33.5655,-101.80032
SCL22,SCL,2019,SCL-2019,S,S,wS,31,17,33.5655,-101.80032
SCL23,SCL,2019,SCL-2019,S,S,wS,17,6,33.5655,-101.80032
SCL24,SCL,2019,SCL-2019,S,S,wS,15,10,33.5655,-101.80032
SCL25,SCL,2019,SCL-2019,S,S,wS,18,14,33.5655,-101.80032
SCL26,SCL,2019,SCL-2019,S,S,wS,27,19,33.5655,-101.80032
SCL27,SCL,2019,SCL-2019,S,S,wS,24,18,33.5655,-101.80032
SCL28,SCL,2019,SCL-2019,S,S,wS,21,20,33.5655,-101.80032
